Word(s),Spoken Form (If Different)
nmap,N map
under-documented,under documented
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
Lakuse
vim
ninja
meson
git
tbodt,tea bot
tmux,timac
talon
knausj
Kekan
lipamanka
Nijon,niyon
Sonja
sqlite
calque
Inli
Mewika
ios
